provice, city, jneoke, jnereguler
Nanggroe Aceh Darusalam,"Alafan, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Salang, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Simeulue Tengah, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Simeulue Timur, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Simuelue Barat, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Sinabang, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Teluk Dalam, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Teupah Selatan, Simeuleu",0,0
Nanggroe Aceh Darusalam,"Teupah Barat, Simeuleu",0,0
Sumatera Utara,"Kerajaan, Pakpak Barat",0,0
Sumatera Utara,"Salak, Pakpak Barat",0,0
Sumatera Utara,"Sitellu Tai Urang Jehe, Pakpak Barat",0,0
Sumatera Utara,"Sitellu Tai Urang Julu, Pakpak Barat",0,0
Sumatera Utara,"Pergetteng-getteng Sengkut, Pakpak Barat",0,0
Sumatera Utara,"Pagindar, Pakpak Barat",0,0
Sumatera Utara,"Siempat Rube, Pakpak Barat",0,0
Sumatera Utara,"Tinada, Pakpak Barat",0,0
Sumatera Utara,"Pematang Siantar, Pematangsiantar",0,0
Sumatera Utara,"Siantar Barat, Pematangsiantar",0,0
Sumatera Utara,"Siantar Marihat, Pematangsiantar",0,0
Sumatera Utara,"Siantar Martoba, Pematangsiantar",0,0
Sumatera Utara,"Siantar Selatan, Pematangsiantar",0,0
Sumatera Utara,"Siantar Timur, Pematangsiantar",0,0
Sumatera Utara,"Siantar Utara, Pematangsiantar",0,0
Sumatera Utara,"Sibolga Kota, Sibolga",0,0
Sumatera Utara,"Sibolga Sambas, Sibolga",0,0
Sumatera Utara,"Sibolga Selatan, Sibolga",0,0
Sumatera Utara,"Sibolga Utara, Sibolga",0,0
Bengkulu,"Kedurang, Bengkulu Selatan",0,0
Bengkulu,"Kota Manna, Bengkulu Selatan",0,0
Bengkulu,"Manna, Bengkulu Selatan",0,0
Bengkulu,"Pino, Bengkulu Selatan",0,0
Bengkulu,"Pinoraya, Bengkulu Selatan",0,0
Bengkulu,"Seginim, Bengkulu Selatan",0,0
Riau,Meranti,0,0
Riau,"Merbau, Meranti",0,0
Riau,"Rangsang, Meranti",0,0
Riau,"Rangsang Barat, Meranti",0,0
Riau,"Selat Panjang, Meranti",0,0
Riau,"Tebing Tinggi, Meranti",0,0
Riau,"Tebing Tinggi Barat, Meranti",0,0
Riau,"Teluk Kuantan, Kuantan Sengingi",0,0
Riau,"Benai, Kuantan Sengingi",0,0
Riau,"Cerenti, Kuantan Sengingi",0,0
Riau,"Gunung Toar, Kuantan Sengingi",0,0
Riau,"Hulu Kuantan, Kuantan Sengingi",0,0
Riau,"Inuman, Kuantan Sengingi",0,0
Riau,"Kuantan Hilir, Kuantan Sengingi",0,0
Riau,"Kuantan Mudik, Kuantan Sengingi",0,0
Riau,"Kuantan Tengah, Kuantan Sengingi",0,0
Riau,"Logas Tanah Darat, Kuantan Sengingi",0,0
Riau,"Pangean, Kuantan Sengingi",0,0
Riau,"Singingi, Kuantan Sengingi",0,0
Riau,"Singingi Hilir, Kuantan Sengingi",0,0
Sumatera Barat,"Akabiluru, Lima Puluh Kota",0,0
Sumatera Barat,"Bukit Barisan, Lima Puluh Kota",0,0
Sumatera Barat,"Guguk, Lima Puluh Kota",0,0
Sumatera Barat,"Gunung Mas, Lima Puluh Kota",0,0
Sumatera Barat,"Harau, Lima Puluh Kota",0,0
Sumatera Barat,"Kapur Ix, Lima Puluh Kota",0,0
Sumatera Barat,"Lareh Sago Halaban, Lima Puluh Kota",0,0
Sumatera Barat,"Luhak, Lima Puluh Kota",0,0
Sumatera Barat,"Mungka, Lima Puluh Kota",0,0
Sumatera Barat,"Pangkalan Koto Baru, Lima Puluh Kota",0,0
Sumatera Barat,"Payakumbuh, Lima Puluh Kota",0,0
Sumatera Barat,"Sarilamak, Lima Puluh Kota",0,0
Sumatera Barat,"Situjuh Lima Nagari, Lima Puluh Kota",0,0
Sumatera Barat,"Suliki Gunung Mas, Lima Puluh Kota",0,0
Sumatera Barat,"Pagai Selatan, Kepulauan Mentawai",0,0
Sumatera Barat,"Pagai Utara, Kepulauan Mentawai",0,0
Sumatera Barat,"Siberut Selatan, Kepulauan Mentawai",0,0
Sumatera Barat,"Siberut Utara, Kepulauan Mentawai",0,0
Sumatera Barat,"Sipora, Kepulauan Mentawai",0,0
Sumatera Barat,"Tuapejat, Kepulauan Mentawai",0,0
Sumatera Barat,"Gunung Tuleh, Pasaman Barat",0,0
Sumatera Barat,"Kinali, Pasaman Barat",0,0
Sumatera Barat,"Lembah Melintang, Pasaman Barat",0,0
Sumatera Barat,"Luhak Nan Duo, Pasaman Barat",0,0
Sumatera Barat,"Pasaman, Pasaman Barat",0,0
Sumatera Barat,"Ranah Balingka, Pasaman Barat",0,0
Sumatera Barat,"Ranah Batahan, Pasaman Barat",0,0
Sumatera Barat,"Ranah Pesisir, Pasaman Barat",0,0
Sumatera Barat,"Simpang Empat, Pasaman Barat",0,0
Sumatera Barat,"Sungai Aur, Pasaman Barat",0,0
Sumatera Barat,"Sungai Beremas, Pasaman Barat",0,0
Sumatera Barat,"Talamau, Pasaman Barat",0,0
Sumatera Barat,"Koto Parik Gadang Diateh, Solok Selatan",0,0
Sumatera Barat,"Padang Aro, Solok Selatan",0,0
Sumatera Barat,"Sangir, Solok Selatan",0,0
Sumatera Barat,"Sangir Batanghari, Solok Selatan",0,0
Sumatera Barat,"Sangir Jujuan, Solok Selatan",0,0
Sumatera Barat,"Sungai Pagu, Solok Selatan",0,0
Sumatera Barat,"Aur Birugo Tigo Baleh, Bukit Tinggi",0,0
Sumatera Barat,Bukit Tinggi,0,0
Sumatera Barat,"Guguk Panjang, Bukit Tinggi",0,0
Sumatera Barat,"Mandiangin Koto Selayan, Bukit Tinggi",0,0
Sumatera Selatan,"Lintang Kanan, Empat Lawang",0,0
Sumatera Selatan,"Muara Pinang, Empat Lawang",0,0
Sumatera Selatan,"Pasemah Air Keruh, Empat Lawang",0,0
Sumatera Selatan,"Pendopo, Empat Lawang",0,0
Sumatera Selatan,"Talang Padang, Empat Lawang",0,0
Sumatera Selatan,"Tebing Tinggi, Empat Lawang",0,0
Sumatera Selatan,"Ulu Musi, Empat Lawang",0,0
Sumatera Selatan,"Banding Agung, Ogan Komering Ulu Selatan",0,0
